Ayça,Yilmaz,PNR001,01A
Sude,Kaya,PNR002,01B
Beyza,Demir,PNR003,02A
Adem,Sahin,PNR004,02B
Bunyamin,Caner ,PNR005,01C
Ahmet,Ak,PNR006,03A
Mehmet,Yurt,PNR007,03B
Ayse,Gul,PNR008,04A
Fatma,Nur,PNR009,04B
Ali,Can,PNR010,05A
Veli,Han,PNR011,05B
Zeynep,Su,PNR012,06A
Ece,Tan,PNR013,06B
Arda,Eren,PNR014,07A
Mert,Bakir,PNR015,07B
Selin,Ay,PNR016,08A
Can,Yaman,PNR017,08B
Burak,Koc,PNR018,09A
Deniz,Sert,PNR019,09B
Emre,Oz,PNR020,10A
Gizem,Lale,PNR021,10B
Hakan,Yigit,PNR022,11A
Irem,Bulut,PNR023,11B
Kaan,Turan,PNR024,12A
Lale,Sen,PNR025,12B
Murat,Aras,PNR026,13A
Nihal,Kaya,PNR027,13B
Omer,Faruk,PNR028,14A
Pelin,Ak,PNR029,14B
Riza,Gok,PNR030,15A
Sibel,Tas,PNR031,15B
Tolga,Ere,PNR032,16A
Umut,Can,PNR033,16B
Vildan,Yaz,PNR034,17A
Yasin,Gez,PNR035,17B
Asli,Duru,PNR036,18A
Bora,Sari,PNR037,18B
Ceren,Yel,PNR038,19A
Derya,Ulu,PNR039,19B
Enis,Pek,PNR040,20A
Funda,Mor,PNR041,20B
Gokhan,Tepe,PNR042,21A
Hande,Ozt,PNR043,21B
Ibrahim,Aksu,PNR044,22A
Jale,Bak,PNR045,22B
Kemal,Has,PNR046,23A
Mine,Tug,PNR047,23B
Nuri,Pak,PNR048,24A
Okan,Cen,PNR049,24B
Pinar,Bul,PNR050,25A
Recep,Tay,PNR051,25B
Suna,Koc,PNR052,26A
Tarik,Aks,PNR053,26B
Ufuk,Yol,PNR054,27A
Vahit,Zor,PNR055,27B
Yelda,Bag,PNR056,28A
Zeki,Met,PNR057,28B
Alper,Tun,PNR058,29A
Buse,Var,PNR059,29B
Cedi,Osm,PNR060,30A
Didem,Ece,PNR061,30B
Ebrar,Kar,PNR062,31A
Ferdi,Kad,PNR063,31B
Gamze,Oz,PNR064,32A
Harun,Tek,PNR065,32B
Itir,Esen,PNR066,33A
Joker,Ali,PNR067,33B
Koray,Avc,PNR068,34A
Leman,Sam,PNR069,34B
Mete,Gaz,PNR070,35A
Nalan,Cun,PNR071,35B
Orhan,Vel,PNR072,36A
Polat,Ale,PNR073,36B
Rana,Guz,PNR074,37A
Sarp,Apa,PNR075,37B
Tuba,Buy,PNR076,38A
Ulas,Tuna,PNR077,38B
Vuslat,Dog,PNR078,39A
Yagmur,Tan,PNR079,39B
Zerrin,Tek,PNR080,40A
Ahmet,Can,PNR081,40B
Baris,Man,PNR082,41A
Cem,Kar,PNR083,41B
Demet,Aka,PNR084,42A
Ediz,Hun,PNR085,42B
Filiz,Ak,PNR086,43A
Gulse,Bir,PNR087,43B
Halit,Erg,PNR088,44A
Ilyas,Sal,PNR089,44B
Kenan,Imi,PNR090,45A
Lemi,Fil,PNR091,45B
Mujdat,Gez,PNR092,46A
Nebahat,Ceh,PNR093,46B
Oya,Bas,PNR094,47A
Perihan,Sav,PNR095,47B
Rasim,Oza,PNR096,48A
Selcuk,Yon,PNR097,48B
Tarik,Aka,PNR098,49A
Umit,Bes,PNR099,49B
Zuhal,Olc,PNR100,50A
